new_industry_code,company_id,detailed_industry_name
101,173839,Growing of mushrooms and truffles
101,400434,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,766803,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,618095,Inorganic farming of non-basmati rice
101,208624,Growing of cotton
101,223964,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,268612,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
101,553111,Inorganic farming of non-basmati rice
101,118744,Operation of poultry hatcheries
101,537546,Organic farming of basmati rice
101,190913,Growing of tea
101,765888,Bee-keeping and production of honey and beeswax
101,291836,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes, melons and other fruit-bearing vegetables"
101,124054,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,190838,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,179986,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,165390,Operation of poultry hatcheries
101,373815,Inorganic farming of non-basmati rice
101,216339,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,498999,Growing of other oil seeds
101,651274,"Growing of jowar, bajra and millets"
101,133783,Organic farming of basmati rice
101,636031,"Growing of other tree and bush fruits, n.e.c."
101,548246,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,149002,"Growing of vegetables, n.e.c."
101,192169,Production of eggs
101,361472,Growing of rubber trees
101,569591,Production of milk from cows or buffaloes
101,264934,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,275582,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,613100,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,531775,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,251483,Growing of coffee
101,747765,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,616579,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
101,446580,Seed processing for propagation
101,209529,Growing of plants for planting
101,364126,Growing of rubber trees
101,497974,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
101,496615,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,485757,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,271303,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,112244,Growing of sugar cane
101,487770,Growing of wheat
101,236551,Seed processing for propagation
101,711849,Growing of other cereals
101,296333,Growing of rubber trees
101,263024,Growing of mangoes
101,192995,Growing of wheat
101,169477,Growing of rose
101,256307,Operation of poultry hatcheries
101,129658,Operation of poultry hatcheries
101,131873,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,306084,Growing of onion
101,456149,Production of milk from cows or buffaloes
101,327779,Operation of poultry hatcheries
101,311859,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,358197,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,402620,Growing of other oil seeds
101,447988,Growing of other beverage crops
101,265505,Inorganic farming of non-basmati rice
101,474494,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,207757,"Growing of vegetables, n.e.c."
101,496830,Production of milk from cows or buffaloes
101,168374,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,102885,Growing of mushrooms and truffles
101,307675,Growing of plants for planting
101,243527,Growing of cotton
101,466018,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
101,475540,Growing of cardamoms
101,499282,"Growing of vegetables, n.e.c."
101,638650,Production of eggs
101,153569,Inorganic farming of non-basmati rice
101,363031,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,276008,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,667125,Production of eggs
101,213990,Inorganic farming of non-basmati rice
101,692944,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,108153,Growing of mushrooms and truffles
101,210456,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,486016,Growing of cotton
101,214495,"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams"
101,253399,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,142286,"Growing of other tree and bush fruits, n.e.c."
101,132058,Growing of plants for planting
101,457341,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,510668,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,497086,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,126528,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,680857,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,255783,Growing of plants for planting
101,425367,Operation of poultry hatcheries
101,663473,Growing of plants for planting
101,131414,Growing of rubber trees
101,458213,Production of milk from cows or buffaloes
101,255241,Inorganic farming of non-basmati rice
101,237512,"Growing of vegetables, n.e.c."
101,332969,Seed processing for propagation
101,205836,Production of eggs
101,391953,Production of milk from cows or buffaloes
101,675402,Growing of tobacco
101,709519,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes, melons and other fruit-bearing vegetables"
101,484430,Inorganic farming of non-basmati rice
101,498614,Seed processing for propagation
101,638509,Operation of poultry hatcheries
101,495657,Seed processing for propagation
101,406968,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,162593,Growing of other beverage crops
101,168043,Growing of other beverage crops
101,121003,Growing of other oil seeds
101,190915,Growing of rose
101,202147,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,183355,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,134507,Growing of cardamoms
101,331612,Growing of mushrooms and truffles
101,363928,Inorganic farming of non-basmati rice
101,496791,"Growing of vegetables, n.e.c."
101,748083,"Growing of vegetables, n.e.c."
101,486529,Growing of plants for planting
101,243224,Inorganic farming of non-basmati rice
101,165464,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,519288,"Growing of other perennial crops, n.e.c."
101,362278,Growing of rubber trees
101,301476,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
101,631089,Seed processing for propagation
101,218959,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,138899,Growing of cotton
101,184167,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,182275,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,248911,Seed processing for propagation
101,540457,Seed processing for propagation
101,269472,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,475538,Growing of cardamoms
101,364416,Production of eggs
101,530358,Inorganic farming of non-basmati rice
101,484915,Production of milk from cows or buffaloes
101,665983,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,196895,"Growing of other tree and bush fruits, n.e.c."
101,704615,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)"
101,331856,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,205224,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
101,709036,Inorganic farming of non-basmati rice
101,129195,Growing of cotton
101,182752,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,171088,Growing of tea
101,490506,Seed processing for propagation
101,132035,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,496533,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,351524,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,276577,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,192486,Production of milk from cows or buffaloes
101,107964,Growing of cotton
101,315223,Growing of rose
101,152643,Growing of rose
101,459412,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,276707,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,648140,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,332992,Growing of coffee
101,400733,Operation of poultry hatcheries
101,200125,Operation of poultry hatcheries
101,566303,Seed processing for propagation
101,346502,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,198334,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,338516,Operation of poultry hatcheries
101,249572,Production of milk from cows or buffaloes
101,129493,Growing of coffee
101,191164,Growing of plants for planting
101,115532,Growing of jute
101,359118,Growing of wheat
101,185273,Seed processing for propagation
101,456552,Growing of bamboo and cane
101,708387,Growing of wheat
101,182362,"Raising of other animals, n.e.c."
101,461935,Seed processing for propagation
101,513314,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,183257,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
101,437020,Growing of cotton
101,273821,Operation of poultry hatcheries
101,553589,Inorganic farming of non-basmati rice
101,681630,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,365535,Production of milk from cows or buffaloes
101,100345,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,699634,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,663476,Growing of cotton
101,225758,Growing of wheat
101,136764,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,164947,Operation of poultry hatcheries
101,227684,Seed processing for propagation
101,377344,Production of milk from cows or buffaloes
101,167892,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
101,486540,Growing of other beverage crops
101,137656,Growing of tobacco
101,267662,Production of eggs
101,680873,Production of eggs
101,321784,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,498191,Production of milk from cows or buffaloes
101,219767,Operation of poultry hatcheries
101,287976,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,609937,Growing of other oil seeds
101,125137,Seed processing for propagation
101,570685,Organic farming of basmati rice
101,312286,Growing of mushrooms and truffles
101,209825,Inorganic farming of non-basmati rice
101,575740,Growing of tea
101,505985,Growing of cotton
101,183024,Growing of plants for planting
101,495778,"Growing of spices, aromatic, drug and pharmaceutical crops"
101,217709,Growing of plants for planting
101,534355,Seed processing for propagation
101,492104,Growing of cotton
101,291863,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,166780,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,544124,Seed processing for propagation
101,245960,Growing of other oil seeds
101,255448,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,151955,Production of milk from cows or buffaloes
101,296346,Inorganic farming of non-basmati rice
101,280544,Growing of other cereals
101,205326,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
101,489129,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,277327,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
101,648859,Growing of cotton
101,638494,Operation of poultry hatcheries
101,409368,Inorganic farming of non-basmati rice
101,395634,Organic farming of basmati rice
101,225520,Growing of onion
101,665507,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
101,193633,Growing of mushrooms and truffles
101,137654,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,179962,Production of milk from cows or buffaloes
101,571904,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,453460,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
101,607680,Growing of plants for planting
101,103334,Growing of chili
101,578758,Growing of other oil seeds
101,185602,"Growing of vegetables, n.e.c."
101,607748,Growing of other oil seeds
101,652475,Operation of poultry hatcheries
101,663631,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,198823,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,545358,Growing of cotton
101,374154,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
101,212888,Growing of wheat
101,151957,Production of milk from cows or buffaloes
101,505670,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
101,139190,Growing of rose
101,489676,Inorganic farming of non-basmati rice
101,333467,"Growing of other perennial crops, n.e.c."
